Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
KAZ,Kazakhstan,2010,8793.07589980782,3.37,Lowest 25%
KGZ,Kyrgyz Republic,2010,876.954476440354,3.67,25-50%
KHM,Cambodia,2010,952.274616324008,18.48,Highest 25%
LUX,Luxembourg,2010,110885.991378721,3.38,Lowest 25%
MDA,Moldova,2010,2436.79935102421,18.11,Highest 25%
MDG,Madagascar,2010,450.009391645726,1.64,Lowest 25%
MKD,North Macedonia,2010,4833.36586759968,7.88,50-75%
MNE,Montenegro,2010,6678.63930800758,7.03,25-50%
MWI,Malawi,2010,683.124694716799,1.64,Lowest 25%
PAK,Pakistan,2010,987.304571124485,3.04,Lowest 25%
POL,Poland,2010,12567.7317676382,13.46,Highest 25%
ROU,Romania,2010,8399.5374234284,12.26,Highest 25%
RUS,Russian Federation,2010,10674.990234375,3.8,25-50%
UKR,Ukraine,2010,3039.63232421875,6.91,25-50%
USA,United States,2010,48642.6100179312,4.76,25-50%
XKX,Kosovo,2010,2987.54519574464,8.48,50-75%
ZMB,Zambia,2010,1451.10616017155,0.29,Lowest 25%
ARM,Armenia,2011,3349.55309771906,12.8,Highest 25%
BEN,Benin,2011,1059.41358852588,7.17,25-50%
BLR,Belarus,2011,6527.6593428786,3.27,Lowest 25%
CHL,Chile,2011,14487.3927832032,9.3,50-75%
COG,"Congo, Rep.",2011,3396.16505817952,4.58,25-50%
EST,Estonia,2011,17555.5455239426,8.02,50-75%
ETH,Ethiopia,2011,343.024942351887,1.96,Lowest 25%
GEO,Georgia,2011,4119.66818307193,23.97,Highest 25%
GTM,Guatemala,2011,3168.98370607705,9.36,50-75%
IDN,Indonesia,2011,3579.46442466152,3.87,25-50%
IND,India,2011,1445.46127486037,18.13,Highest 25%
ISR,Israel,2011,34522.5215979073,11.18,50-75%
KAZ,Kazakhstan,2011,11287.1464926039,1.83,Lowest 25%
KGZ,Kyrgyz Republic,2011,1117.40174350185,3.54,Lowest 25%
KHM,Cambodia,2011,1088.98152823081,11.57,50-75%
MDA,Moldova,2011,2941.36224066021,15.63,Highest 25%
MKD,North Macedonia,2011,5416.86672931659,7.33,25-50%
MLI,Mali,2011,938.292902583696,2.57,Lowest 25%
MNE,Montenegro,2011,7265.51668681954,9.31,50-75%
NER,Niger,2011,510.75956176268,6.63,25-50%
PAK,Pakistan,2011,1131.73513834324,3.76,25-50%
POL,Poland,2011,13867.6669408192,13.9,Highest 25%
ROU,Romania,2011,9560.6755277458,13.02,Highest 25%
RUS,Russian Federation,2011,14305.33203125,3.93,25-50%
SEN,Senegal,2011,1374.67591873844,3.33,Lowest 25%
TCD,Chad,2011,1308.1421872538,8.69,50-75%
UKR,Ukraine,2011,3656.69799804688,7.01,25-50%
USA,United States,2011,50024.868799398,4.72,25-50%
XKX,Kosovo,2011,3538.94759838576,7.11,25-50%
ALB,Albania,2012,4280.93316338873,16.72,Highest 25%
ARM,Armenia,2012,3511.56399687426,13.9,Highest 25%
BLR,Belarus,2012,6953.21591683101,4.38,25-50%
BTN,Bhutan,2012,2751.2128864294,4.01,25-50%
COD,"Congo, Dem. Rep.",2012,409.931424783784,4.82,25-50%
DJI,Djibouti,2012,1400.19357858954,2.27,Lowest 25%
EGY,"Egypt, Arab Rep.",2012,2996.0677072015,26.35,Highest 25%
GIN,Guinea,2012,699.353377212197,6.98,25-50%
HTI,Haiti,2012,1361.39396587374,9.43,50-75%
IDN,Indonesia,2012,3632.27254030331,3.45,Lowest 25%
IRQ,Iraq,2012,6477.59618450955,3.81,25-50%
ISR,Israel,2012,33321.4300881602,10.6,50-75%
JAM,Jamaica,2012,5340.83333232158,2.08,Lowest 25%
KAZ,Kazakhstan,2012,12018.7966527993,1.91,Lowest 25%
KGZ,Kyrgyz Republic,2012,1168.62244675446,2.17,Lowest 25%
MDA,Moldova,2012,3044.8084324815,16.31,Highest 25%
MDG,Madagascar,2012,493.511162904211,2.96,Lowest 25%
MKD,North Macedonia,2012,5049.8265386157,8.61,50-75%
MNE,Montenegro,2012,6552.48071710904,7.78,50-75%
MNG,Mongolia,2012,4328.89001905655,2.16,Lowest 25%
PHL,Philippines,2012,2614.61644401308,6.13,25-50%
POL,Poland,2012,13087.420943321,13.93,Highest 25%
ROU,Romania,2012,8929.95366231474,11.99,50-75%
UGA,Uganda,2012,795.222867553127,15.74,Highest 25%
UKR,Ukraine,2012,3951.34228515625,7.69,50-75%
USA,United States,2012,51708.4011556577,5.0,25-50%
AFG,Afghanistan,2013,637.087099117099,15.19,Highest 25%
ARM,Armenia,2013,3680.16692158886,16.05,Highest 25%
BDI,Burundi,2013,234.844770150871,3.29,Lowest 25%
BLR,Belarus,2013,7998.0802045456,6.23,25-50%
ECU,Ecuador,2013,6109.29031510341,10.47,50-75%
HTI,Haiti,2013,1457.83221179626,12.15,50-75%
IDN,Indonesia,2013,3566.60284506078,3.74,25-50%
IRN,"Iran, Islamic Rep.",2013,6222.74194840326,12.02,50-75%
ISR,Israel,2013,37034.3161080785,10.94,50-75%
JAM,Jamaica,2013,5124.21301411137,0.96,Lowest 25%
KAZ,Kazakhstan,2013,13478.459627612,1.81,Lowest 25%
KGZ,Kyrgyz Republic,2013,1269.66303464348,2.6,Lowest 25%
MAR,Morocco,2013,3379.7431640625,20.73,Highest 25%
MDA,Moldova,2013,3321.04397795719,16.05,Highest 25%
MKD,North Macedonia,2013,5626.26115664893,7.99,50-75%
MLI,Mali,2013,901.920957644831,1.67,Lowest 25%
MNE,Montenegro,2013,7102.77882895852,9.13,50-75%
PAK,Pakistan,2013,1225.4340119198,5.61,25-50%
POL,Poland,2013,13621.9023794031,13.29,Highest 25%
ROU,Romania,2013,9497.67411615237,12.55,Highest 25%
RUS,Russian Federation,2013,15941.4482421875,4.84,25-50%
RWA,Rwanda,2013,704.92421851123,1.65,Lowest 25%
SYC,Seychelles,2013,14821.2921476077,2.82,Lowest 25%
TJK,Tajikistan,2013,1028.19704279396,6.99,25-50%
UKR,Ukraine,2013,4129.89697265625,7.21,25-50%
USA,United States,2013,53179.0127634561,4.77,25-50%
ARM,Armenia,2014,3852.11800610384,19.47,Highest 25%
BFA,Burkina Faso,2014,764.861675106225,3.13,Lowest 25%
BLR,Belarus,2014,8341.31809294883,5.78,25-50%
COM,Comoros,2014,1615.71723662012,8.94,50-75%
IDN,Indonesia,2014,3441.06808464008,4.38,25-50%
ISR,Israel,2014,38343.3046626235,11.49,50-75%
JAM,Jamaica,2014,4975.11325459872,1.6,Lowest 25%
KAZ,Kazakhstan,2014,12427.7094576939,1.93,Lowest 25%
KGZ,Kyrgyz Republic,2014,1264.52668823891,2.84,Lowest 25%
LBR,Liberia,2014,706.714490064507,22.79,Highest 25%
MDA,Moldova,2014,3289.95758568777,16.34,Highest 25%
MEX,Mexico,2014,11391.3773497683,2.45,Lowest 25%
MKD,North Macedonia,2014,5925.38592218015,8.57,50-75%
MLI,Mali,2014,947.915033288325,3.46,Lowest 25%
MNE,Montenegro,2014,7342.17339453427,8.86,50-75%
MNG,Mongolia,2014,4126.23975800524,2.98,Lowest 25%
MOZ,Mozambique,2014,697.142680444123,1.76,Lowest 25%
NIC,Nicaragua,2014,1958.37047579547,28.05,Highest 25%
POL,Poland,2014,14262.2841914116,12.61,Highest 25%
RUS,Russian Federation,2014,14055.47265625,4.87,25-50%
SDN,Sudan,2014,1275.43835449219,12.46,Highest 25%
SLV,El Salvador,2014,3666.01248913873,1.69,Lowest 25%
TJK,Tajikistan,2014,1081.54402932039,7.87,50-75%
TLS,Timor-Leste,2014,1224.74956308733,2.66,Lowest 25%
TTO,Trinidad and Tobago,2014,21908.3014555644,3.88,25-50%
UKR,Ukraine,2014,3054.908203125,7.76,50-75%
USA,United States,2014,54973.4207515712,4.9,25-50%
YEM,"Yemen, Rep.",2014,1430.16420964026,16.34,Highest 25%
ARM,Armenia,2015,3512.39350276709,22.43,Highest 25%
BEN,Benin,2015,1002.41886879614,11.13,50-75%
BLR,Belarus,2015,5967.05595058777,7.78,50-75%
BWA,Botswana,2015,6141.20394726616,4.32,25-50%
CPV,Cabo Verde,2015,3415.06266730931,3.81,25-50%
EGY,"Egypt, Arab Rep.",2015,3306.98159414141,31.22,Highest 25%
ETH,Ethiopia,2015,597.912113218663,2.12,Lowest 25%
GMB,"Gambia, The",2015,619.536364296461,0.2,Lowest 25%
IDN,Indonesia,2015,3288.22269725538,3.4,Lowest 25%
ISR,Israel,2015,36213.1041481958,11.7,50-75%
JAM,Jamaica,2015,5339.30718256806,1.58,Lowest 25%
KAZ,Kazakhstan,2015,10196.1226255982,2.54,Lowest 25%
KEN,Kenya,2015,1489.11959777284,5.86,25-50%
KGZ,Kyrgyz Republic,2015,1105.65193844261,4.71,25-50%
MDA,Moldova,2015,2749.55137054338,18.49,Highest 25%
MKD,North Macedonia,2015,5262.68671928674,10.85,50-75%
MLI,Mali,2015,838.11986940103,2.13,Lowest 25%
MMR,Myanmar,2015,1166.73305547935,14.13,Highest 25%
MNE,Montenegro,2015,6421.00307345999,10.27,50-75%
NAM,Namibia,2015,4774.10650865775,0.78,Lowest 25%
NPL,Nepal,2015,875.543635474862,8.02,50-75%
PAK,Pakistan,2015,1380.47020838317,4.47,25-50%
PHL,Philippines,2015,2909.85818010301,6.31,25-50%
POL,Poland,2015,12637.5220324406,13.73,Highest 25%
UKR,Ukraine,2015,2094.47387695313,7.13,25-50%
USA,United States,2015,56572.9188996063,4.4,25-50%
ZMB,Zambia,2015,1295.87788680068,0.16,Lowest 25%
ARM,Armenia,2016,3524.42476874707,19.29,Highest 25%
BLR,Belarus,2016,5039.77560949445,9.16,50-75%
CHL,Chile,2016,13649.8520452803,14.61,Highest 25%
IDN,Indonesia,2016,3521.46943457574,4.31,25-50%
IRN,"Iran, Islamic Rep.",2016,5710.59947089104,17.56,Highest 25%
ISR,Israel,2016,37671.5389138798,11.06,50-75%
JAM,Jamaica,2016,5302.29553353854,2.09,Lowest 25%
KAZ,Kazakhstan,2016,7475.56688689424,4.57,25-50%
KGZ,Kyrgyz Republic,2016,1103.27489428412,3.47,Lowest 25%
LBR,Liberia,2016,714.613063145659,15.3,Highest 25%
LKA,Sri Lanka,2016,4149.19190775593,5.41,25-50%
MDA,Moldova,2016,2847.08794770479,18.68,Highest 25%
MKD,North Macedonia,2016,5598.48622617967,10.24,50-75%
MLI,Mali,2016,872.468587171653,1.95,Lowest 25%
MNG,Mongolia,2016,3619.90026383792,4.54,25-50%
MWI,Malawi,2016,450.506105510719,3.91,25-50%
NPL,Nepal,2016,877.256454696737,8.45,50-75%
POL,Poland,2016,12464.0110508476,14.11,Highest 25%
ROU,Romania,2016,9404.54005870715,13.42,Highest 25%
RWA,Rwanda,2016,729.519133812945,1.17,Lowest 25%
SLV,El Salvador,2016,3901.34014965811,4.75,25-50%
SWZ,Eswatini,2016,3238.17611961364,5.02,25-50%
TJK,Tajikistan,2016,788.710481734485,7.99,50-75%
UGA,Uganda,2016,752.696571725656,15.33,Highest 25%
UKR,Ukraine,2016,2158.46118164063,8.93,50-75%
URY,Uruguay,2016,17009.7584207276,2.34,Lowest 25%
USA,United States,2016,57638.1018367192,4.47,25-50%
XKX,Kosovo,2016,3759.44959067104,6.96,25-50%
ALB,Albania,2017,5006.36012951959,8.85,50-75%
ARG,Argentina,2017,14532.5009308511,9.71,50-75%
ARM,Armenia,2017,3869.05373867752,20.98,Highest 25%
BLR,Belarus,2017,5785.54491935194,10.16,50-75%
BRA,Brazil,2017,10080.5078722821,11.81,50-75%
EGY,"Egypt, Arab Rep.",2017,2395.10333299491,31.28,Highest 25%
GAB,Gabon,2017,6921.73373135624,3.85,25-50%
GEO,Georgia,2017,4418.75206546679,31.13,Highest 25%
IDN,Indonesia,2017,3798.88326174526,4.52,25-50%
IRN,"Iran, Islamic Rep.",2017,6000.93346404409,12.9,Highest 25%
ISR,Israel,2017,41138.470964272,12.01,50-75%
JAM,Jamaica,2017,5605.43541173019,2.01,Lowest 25%
LSO,Lesotho,2017,1069.36673247542,0.71,Lowest 25%
MDA,Moldova,2017,3453.26727720294,17.2,Highest 25%
MKD,North Macedonia,2017,5955.2973863451,6.92,25-50%
MLI,Mali,2017,924.057531692284,1.51,Lowest 25%
POL,Poland,2017,13913.3402919927,14.5,Highest 25%
SLV,El Salvador,2017,4020.12671373919,3.77,25-50%
TJK,Tajikistan,2017,829.45714764957,8.06,50-75%
UKR,Ukraine,2017,2604.28759765625,7.3,25-50%
ZWE,Zimbabwe,2017,3445.44941020134,14.22,Highest 25%
AGO,Angola,2018,2860.0936483682,35.01,Highest 25%
ARM,Armenia,2018,4196.00562301769,17.82,Highest 25%
BEN,Benin,2018,1151.7409703472,13.34,Highest 25%
BFA,Burkina Faso,2018,777.465618514048,7.07,25-50%
BLR,Belarus,2018,6360.037502312,10.03,50-75%
BLZ,Belize,2018,6011.99036888587,5.75,25-50%
CHN,China,2018,10085.6638148819,24.33,Highest 25%
CRI,Costa Rica,2018,12590.2493781614,7.41,25-50%
GIN,Guinea,2018,933.273615633705,1.5,Lowest 25%
GNB,Guinea-Bissau,2018,808.531613218504,5.05,25-50%
IDN,Indonesia,2018,3860.95353090726,4.74,25-50%
IRN,"Iran, Islamic Rep.",2018,4783.01067340237,12.94,Highest 25%
ISR,Israel,2018,42362.6652754196,12.93,Highest 25%
JAM,Jamaica,2018,5976.90362644337,2.45,Lowest 25%
KAZ,Kazakhstan,2018,9472.48527327758,5.11,25-50%
MDA,Moldova,2018,4156.44981956646,14.53,Highest 25%
MKD,North Macedonia,2018,6713.98925398989,8.41,50-75%
MLI,Mali,2018,996.379292136901,2.06,Lowest 25%
MNG,Mongolia,2018,4107.64288528468,6.0,25-50%
NER,Niger,2018,578.568035680892,6.53,25-50%
POL,Poland,2018,15658.2120316794,13.35,Highest 25%
SEN,Senegal,2018,1452.55612562445,6.36,25-50%
SLV,El Salvador,2018,4183.54620971358,3.5,Lowest 25%
TCD,Chad,2018,948.656629871231,8.82,50-75%
TJK,Tajikistan,2018,834.288404578801,9.1,50-75%
TZA,Tanzania,2018,1023.10626220703,4.3,25-50%
UKR,Ukraine,2018,3059.0517578125,7.78,50-75%
ARM,Armenia,2019,4597.22887399548,25.58,Highest 25%
BLR,Belarus,2019,6837.77339645635,9.08,50-75%
GEO,Georgia,2019,4741.2832715876,31.54,Highest 25%
IDN,Indonesia,2019,4106.94856160358,2.34,Lowest 25%
IRN,"Iran, Islamic Rep.",2019,3997.4935449585,11.82,50-75%
ISR,Israel,2019,44250.6313628073,11.85,50-75%
JAM,Jamaica,2019,6030.68896415921,2.0,Lowest 25%
KGZ,Kyrgyz Republic,2019,1421.99927504102,4.29,25-50%
KHM,Cambodia,2019,2225.87705485686,17.51,Highest 25%
KIR,Kiribati,2019,1750.9977188915,0.14,Lowest 25%
MDA,Moldova,2019,4405.33418162155,14.89,Highest 25%
MKD,North Macedonia,2019,6718.85826635458,10.05,50-75%
MLI,Mali,2019,971.949318638092,1.81,Lowest 25%
MOZ,Mozambique,2019,519.09255091362,1.72,Lowest 25%
MWI,Malawi,2019,580.889139762475,2.91,Lowest 25%
POL,Poland,2019,15874.5220531254,13.85,Highest 25%
SLV,El Salvador,2019,4320.11671534627,4.05,25-50%
UGA,Uganda,2019,822.171150036357,12.51,Highest 25%
UKR,Ukraine,2019,3619.86157226563,8.32,50-75%
VUT,Vanuatu,2019,3207.44650452083,0.14,Lowest 25%
ARM,Armenia,2020,4268.68093304583,23.87,Highest 25%
BLR,Belarus,2020,6542.85579976768,13.24,Highest 25%
GEO,Georgia,2020,4300.85701291207,31.09,Highest 25%
IDN,Indonesia,2020,3853.70288774146,2.09,Lowest 25%
IRN,"Iran, Islamic Rep.",2020,3202.50003502169,12.14,50-75%
ISR,Israel,2020,44575.5719045492,12.44,Highest 25%
KGZ,Kyrgyz Republic,2020,1229.51766602907,4.91,25-50%
MDA,Moldova,2020,4375.7788930524,12.84,Highest 25%
MKD,North Macedonia,2020,6659.59651070776,9.71,50-75%
MNG,Mongolia,2020,4001.25193077703,14.71,Highest 25%
PER,Peru,2020,6133.32552410183,9.67,50-75%
BEN,Benin,2021,1318.65158075198,16.23,Highest 25%
BFA,Burkina Faso,2021,895.535288442991,10.67,50-75%
BIH,Bosnia and Herzegovina,2021,7295.34378682258,5.46,25-50%
CAF,Central African Republic,2021,492.263142830507,9.9,50-75%
ETH,Ethiopia,2021,893.00983544905,2.93,Lowest 25%
GNB,Guinea-Bissau,2021,926.780921081233,7.0,25-50%
IDN,Indonesia,2021,4287.17313995098,1.88,Lowest 25%
IRN,"Iran, Islamic Rep.",2021,4605.14881318992,13.41,Highest 25%
ISR,Israel,2021,52270.9040241956,13.04,Highest 25%
JAM,Jamaica,2021,5625.67806271236,6.36,25-50%
KGZ,Kyrgyz Republic,2021,1349.99730650542,3.82,25-50%
KHM,Cambodia,2021,2167.40324198499,12.4,Highest 25%
MDA,Moldova,2021,5274.60582195352,14.92,Highest 25%
MKD,North Macedonia,2021,7620.80296977508,9.09,50-75%
MLI,Mali,2021,1027.27345365357,2.4,Lowest 25%
NER,Niger,2021,608.722439593808,5.62,25-50%
SEN,Senegal,2021,1598.10676952274,7.75,50-75%
TUN,Tunisia,2021,3906.93926319391,37.65,Highest 25%
CMR,Cameroon,2022,1604.87726954895,19.29,Highest 25%
GEO,Georgia,2022,6729.84659930283,31.6,Highest 25%
IDN,Indonesia,2022,4730.83484836107,1.63,Lowest 25%
IRN,"Iran, Islamic Rep.",2022,4721.20437099984,11.38,50-75%
KGZ,Kyrgyz Republic,2022,1739.72018344174,3.79,25-50%
MDA,Moldova,2022,5744.29618434435,12.57,Highest 25%
MKD,North Macedonia,2022,7606.2375253797,8.09,50-75%
MLI,Mali,2022,976.914116406452,1.29,Lowest 25%
NGA,Nigeria,2022,2899.16047470324,11.71,50-75%
NPL,Nepal,2022,1385.91066274851,13.82,Highest 25%
PER,Peru,2022,7350.63034300417,12.66,Highest 25%
SUR,Suriname,2022,6084.43876736445,2.9,Lowest 25%
GEO,Georgia,2023,8283.66960652261,28.43,Highest 25%
IDN,Indonesia,2023,4876.30774512252,1.62,Lowest 25%
